2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_empty_title_is_rejected0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_bulk_insert_stats0/test_raw_news.db
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_bulk_insert_stats0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_stats_group_by_source_typ0/test_raw_news.db
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_stats_group_by_source_typ0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_export_to_json0/test_raw_news.db
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Exported 1 articles to /tmp/pytest-of-root/pytest-0/test_export_to_json0/export.json
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_export_to_json0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | RSSScraper[rss_feeds] | No RSS feeds configured; skipping.
2026-08-25 07:39:42 | WARNING  | RSSScraper[rss_feeds] | RSS feed entry 'Bad Feed' has no url, skipping.
2026-08-25 07:39:42 | INFO     | ManualInputLoader[manual_input] | Loaded 2 article(s) from batch.json
2026-08-25 07:39:42 | INFO     | ManualInputLoader[manual_input] | Loaded 1 article(s) from batch.csv
2026-08-25 07:39:42 | INFO     | ManualInputLoader[manual_input] | Loaded 1 article(s) from note.txt
2026-08-25 07:39:42 | INFO     | ManualInputLoader[manual_input] | No new manual input files found in /tmp/pytest-of-root/pytest-0/test_empty_folder_returns_empt0
2026-08-25 07:39:48 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
